Chrom,Start,End,ATAC,H3K27ac,H3K9me3
chr6,10400000,10600000,0.612244,0.794566,0.242333
chr6,10600000,10800000,0.316951,0.335949,0.243485
chr6,10800000,11000000,0.443317,0.606818,0.257959
chr6,11000000,11200000,0.443317,1.0381,0.314699
chr6,11200000,11400000,0.441057,1.0381,0.314699
chr6,11400000,11600000,0.311301,0.536603,0.306886
chr6,11600000,11800000,0.311301,0.448904,0.306886
chr6,11800000,12000000,0.311866,0.399503,0.285368
chr6,12000000,12200000,0.524673,1.54501,0.354277
chr6,12200000,12400000,0.524673,1.54501,0.359912
chr6,12400000,12600000,0.22034,0.737673,0.359912
chr6,12600000,12800000,0.244822,0.223827,0.308551
chr6,12800000,13000000,0.254239,0.172623,0.308551
chr6,13000000,13200000,0.406782,0.421706,0.284087
chr6,13200000,13400000,0.441057,0.494835,0.242589
chr6,13400000,13600000,0.441057,0.494835,0.243613
chr6,13600000,13800000,0.310548,0.313747,0.281398
chr6,13800000,14000000,0.272506,0.246307,0.281398
chr6,14000000,14200000,0.249719,0.29432,0.294078
chr6,14200000,14400000,0.243692,0.36509,0.294846
chr6,14400000,14600000,0.278909,0.543264,0.294846
chr6,14600000,14800000,0.278909,0.543264,0.279348
chr6,14800000,15000000,0.184747,0.242838,0.228628
chr6,15000000,15200000,0.341621,0.358152,0.225426
chr6,15200000,15400000,0.341621,0.358152,0.225426
chr6,15400000,15600000,0.25405,0.227852,0.274609
chr6,15600000,15800000,0.220905,0.196074,0.274609
chr6,15800000,16000000,0.273259,0.201625,0.262698
chr6,16000000,16200000,0.331452,0.253523,0.262698
chr6,16200000,16400000,0.331452,0.253523,0.223248
chr6,16400000,16600000,0.443317,0.575596,0.246559
chr6,16600000,16800000,0.443317,0.575596,0.300226
chr6,16800000,17000000,0.222977,0.20898,0.341084
chr6,17000000,17200000,0.300943,0.451818,0.341084
chr6,17200000,17400000,0.300943,0.451818,0.283447
chr6,17400000,17600000,0.307535,0.331648,0.253476
chr6,17600000,17800000,0.323542,0.572959,0.271535
chr6,17800000,18000000,0.323542,0.572959,0.271535
chr6,18000000,18200000,0.308288,0.273644,0.252451
chr6,18200000,18400000,0.29002,0.273644,0.251939
chr6,18400000,18600000,0.217892,0.184279,0.278836
chr6,18600000,18800000,0.14953,0.161245,0.305605
chr6,18800000,19000000,0.166103,0.16291,0.305605
chr6,19000000,19200000,0.166103,0.186361,0.292029
chr6,19200000,19400000,0.193975,0.199682,0.308295
chr6,19400000,19600000,0.193975,0.221468,0.308295
chr6,19600000,19800000,0.36987,0.236594,0.288058
chr6,19800000,20000000,0.36987,0.236594,0.288058
chr6,20000000,20200000,0.307158,0.221607,0.262698
chr6,20200000,20400000,0.3823,0.32693,0.262698
chr6,20400000,20600000,0.3823,0.32693,0.253604
chr6,20600000,20800000,0.174389,0.289047,0.277171
chr6,20800000,21000000,0.174389,0.284606,0.277171
chr6,21000000,21200000,0.186818,0.242006,0.271151
chr6,21200000,21400000,0.306405,0.342749,0.257959
chr6,21400000,21600000,0.306405,0.469996,0.257959
chr6,21600000,21800000,0.239926,0.503299,0.272304
chr6,21800000,22000000,0.235971,0.503299,0.312394
chr6,22000000,22200000,0.19454,0.405054,0.334936
chr6,22200000,22400000,0.19454,0.369669,0.334936
chr6,22400000,22600000,0.155368,0.268787,0.315212
chr6,22600000,22800000,0.17533,0.363147,0.32264
chr6,22800000,23000000,0.17533,0.363147,0.32264
chr6,23000000,23200000,0.136912,0.190385,0.315468
chr6,23200000,23400000,0.123729,0.154584,0.34134
chr6,23400000,23600000,0.123729,0.154584,0.34134
chr6,23600000,23800000,0.119586,0.147507,0.304837
chr6,23800000,24000000,0.170057,0.177341,0.277043
chr6,24000000,24200000,0.348213,0.414074,0.277043
chr6,24200000,24400000,0.348213,0.414074,0.277043
chr6,24400000,24600000,0.418835,0.493725,0.263466
chr6,24600000,24800000,0.418835,0.493725,0.281013
chr6,24800000,25000000,0.247082,0.419763,0.292669
chr6,25000000,25200000,0.290774,0.419763,0.292669
chr6,25200000,25400000,0.290774,0.351907,0.247328
chr6,25400000,25600000,0.200378,0.336782,0.279092
chr6,25600000,25800000,0.294163,0.469857,0.28524
chr6,25800000,26000000,0.960834,1.0016,0.28524
chr6,26000000,26200000,0.960834,1.0016,0.229524
chr6,26200000,26400000,0.697932,0.684248,0.229012
chr6,26400000,26600000,0.697932,0.496916,0.229012
chr6,26600000,26800000,0.338043,0.0964414,0.192764
chr6,26800000,27000000,0.505464,0.434056,0.26923
chr6,27000000,27200000,0.505464,0.434056,0.338779
chr6,27200000,27400000,0.458194,0.30334,0.359528
chr6,27400000,27600000,0.574391,0.391594,0.359528
chr6,27600000,27800000,0.590775,0.569351,0.254372
chr6,27800000,28000000,0.590775,0.569351,0.357479
chr6,28000000,28200000,0.379663,0.36842,0.357479
chr6,28200000,28400000,0.379663,0.36842,0.329557
chr6,28400000,28600000,0.473825,0.350242,0.274353
chr6,28600000,28800000,0.592847,0.421567,0.250786
chr6,28800000,29000000,0.592847,0.421567,0.276274
chr6,29000000,29200000,0.189267,0.184002,0.276274
chr6,29200000,29400000,0.138984,0.145564,0.262057
chr6,29400000,29600000,0.374955,0.195658,0.230293
chr6,29600000,29800000,0.374955,0.195658,0.230293
chr6,29800000,30000000,0.369117,0.283219,0.227091
chr6,30000000,30200000,0.407535,0.364535,0.325586
chr6,30200000,30400000,0.490963,0.364535,0.325586
chr6,30400000,30600000,0.840306,1.00299,0.257702
chr6,30600000,30800000,0.840306,1.00299,0.233495
chr6,30800000,31000000,0.573261,0.726017,0.233495
chr6,31000000,31200000,0.573261,0.505381,0.203395
chr6,31200000,31400000,0.550474,0.341222,0.21377
chr6,31400000,31600000,0.795673,0.536187,0.21377
chr6,31600000,31800000,0.831643,0.556446,0.167532
chr6,31800000,32000000,0.853677,0.556446,0.150881
chr6,32000000,32200000,0.853677,0.362176,0.255781
chr6,32200000,32400000,0.198118,0.187055,0.255781
chr6,32400000,32600000,0.169116,0.0871442,0.128467
chr6,32600000,32800000,0.395859,0.26504,0.231958
chr6,32800000,33000000,0.499626,0.424897,0.273457
chr6,33000000,33200000,0.798874,0.54368,0.273457
chr6,33200000,33400000,0.798874,0.54368,0.183543
chr6,33400000,33600000,0.715446,0.663434,0.183543
chr6,33600000,33800000,0.715446,0.663434,0.194045
chr6,33800000,34000000,0.519965,0.255188,0.194045
chr6,34000000,34200000,0.519965,0.368004,0.204292
chr6,34200000,34400000,0.417893,0.368004,0.204292
chr6,34400000,34600000,0.417893,0.615005,0.226322
chr6,34600000,34800000,0.295482,0.615005,0.226322
chr6,34800000,35000000,0.286442,0.280998,0.217869
chr6,35000000,35200000,0.426933,0.280998,0.217869
chr6,35200000,35400000,0.58682,0.407413,0.201858
chr6,35400000,35600000,0.613939,0.939437,0.253988
chr6,35600000,35800000,0.613939,0.939437,0.253988
chr6,35800000,36000000,0.325237,0.289741,0.253732
chr6,36000000,36200000,0.359512,0.289741,0.253732
chr6,36200000,36400000,0.359512,0.502606,0.222608
chr6,36400000,36600000,0.635973,0.591554,0.216332
chr6,36600000,36800000,0.635973,0.591554,0.195967
chr6,36800000,37000000,0.535973,0.771393,0.200834
chr6,37000000,37200000,0.535973,0.771393,0.211465
chr6,37200000,37400000,0.400002,0.333451,0.211465
chr6,37400000,37600000,0.462526,0.30667,0.207878
chr6,37600000,37800000,0.462526,0.342887,0.250786
chr6,37800000,38000000,0.268363,0.342887,0.250786
chr6,38000000,38200000,0.268363,0.235484,0.241692
chr6,38200000,38400000,0.18437,0.241034,0.237722
chr6,38400000,38600000,0.255557,0.241034,0.257574
chr6,38600000,38800000,0.255557,0.22355,0.263978
chr6,38800000,39000000,0.333523,0.174705,0.263978
chr6,39000000,39200000,0.450661,0.283912,0.24118
chr6,39200000,39400000,0.450661,0.283912,0.243998
chr6,39400000,39600000,0.184747,0.159024,0.262826
chr6,39600000,39800000,0.270435,0.159024,0.262826
chr6,39800000,40000000,0.270435,0.141679,0.270639
chr6,40000000,40200000,0.222223,0.146535,0.270639
chr6,40200000,40400000,0.324107,0.146535,0.251554
chr6,40400000,40600000,0.324107,0.16402,0.249633
chr6,40600000,40800000,0.299813,0.552422,0.266924
chr6,40800000,41000000,0.442375,0.552422,0.266924
chr6,41000000,41200000,0.442375,0.419486,0.295999
chr6,41200000,41400000,0.477404,0.350658,0.295999
chr6,41400000,41600000,0.709232,0.502744,0.188538
chr6,41600000,41800000,0.709232,0.647198,0.221199
chr6,41800000,42000000,0.429569,0.647198,0.221199
chr6,42000000,42200000,0.429569,0.61667,0.211336
chr6,42200000,42400000,0.344635,0.453205,0.252323
chr6,42400000,42600000,0.336537,0.42351,0.252323
chr6,42600000,42800000,0.4452,0.395202,0.216972
chr6,42800000,43000000,0.588892,0.364118,0.179572
chr6,43000000,43200000,0.588892,0.364118,0.208519
chr6,43200000,43400000,0.470247,0.243254,0.208519
chr6,43400000,43600000,0.517705,0.347605,0.203395
chr6,43600000,43800000,0.569118,0.417543,0.203395
chr6,43800000,44000000,0.679476,0.916124,0.241692
chr6,44000000,44200000,0.816765,0.916124,0.241692
chr6,44200000,44400000,0.816765,0.372999,0.258471
chr6,44400000,44600000,0.352168,0.25047,0.258471
chr6,44600000,44800000,0.287384,0.193715,0.242204
chr6,44800000,45000000,0.133899,0.231182,0.259368
chr6,45000000,45200000,0.193033,0.272256,0.259368
chr6,45200000,45400000,0.25857,0.298066,0.269614
chr6,45400000,45600000,0.26083,0.320824,0.279989
chr6,45600000,45800000,0.26083,0.320824,0.279989
chr6,45800000,46000000,0.253674,0.154861,0.269998
chr6,46000000,46200000,0.243127,0.154861,0.258727
chr6,46200000,46400000,0.192091,0.163187,0.261033
chr6,46400000,46600000,0.246706,0.193299,0.261033
chr6,46600000,46800000,0.246706,0.30889,0.271407
chr6,46800000,47000000,0.287195,0.339418,0.272688
chr6,47000000,47200000,0.287195,0.339418,0.272688
chr6,47200000,47400000,0.236724,0.347883,0.290107
chr6,47400000,47600000,0.273259,0.347883,0.290107
chr6,47600000,47800000,0.273259,0.344553,0.276531
chr6,47800000,48000000,0.185312,0.212726,0.268974
chr6,48000000,48200000,0.18437,0.212726,0.291901
chr6,48200000,48400000,0.149342,0.244365,0.297792
chr6,48400000,48600000,0.149342,0.244365,0.307142
chr6,48600000,48800000,0.173447,0.312776,0.310985
chr6,48800000,49000000,0.173447,0.312776,0.310985
chr6,49000000,49200000,0.145198,0.199682,0.289467
chr6,49200000,49400000,0.26083,0.313192,0.288314
chr6,49400000,49600000,0.26083,0.313192,0.249505
chr6,49600000,49800000,0.168927,0.187332,0.271792
chr6,49800000,50000000,0.174012,0.169987,0.271792
chr6,50000000,50200000,0.174012,0.16846,0.279733
chr6,50200000,50400000,0.129003,0.152086,0.288314
chr6,50400000,50600000,0.113372,0.152086,0.288314
chr6,50600000,50800000,0.131262,0.143483,0.286649
chr6,50800000,51000000,0.131262,0.137932,0.306502
chr6,51000000,51200000,0.114313,0.137793,0.306502
chr6,51200000,51400000,0.134276,0.138348,0.290235
chr6,51400000,51600000,0.134276,0.138348,0.287674
chr6,51600000,51800000,0.171752,0.142928,0.280245
chr6,51800000,52000000,0.245199,0.161383,0.257959
chr6,52000000,52200000,0.350284,0.249638,0.257959
chr6,52200000,52400000,0.573261,0.669817,0.227347
chr6,52400000,52600000,0.573261,0.669817,0.237978
chr6,52600000,52800000,0.293598,0.351491,0.243741
chr6,52800000,53000000,0.2968,0.351491,0.243741
chr6,53000000,53200000,0.407158,0.564495,0.24118
chr6,53200000,53400000,0.408853,0.564495,0.280373
chr6,53400000,53600000,0.408853,0.559222,0.280373
chr6,53600000,53800000,0.391527,0.510238,0.272176
chr6,53800000,54000000,0.21808,0.274338,0.268333
chr6,54000000,54200000,0.193598,0.274338,0.279861
chr6,54200000,54400000,0.159511,0.226603,0.299201
chr6,54400000,54600000,0.135029,0.192328,0.299201
chr6,54600000,54800000,0.135029,0.181643,0.268205
chr6,54800000,55000000,0.122411,0.186777,0.2846
chr6,55000000,55200000,0.122411,0.186777,0.2846
chr6,55200000,55400000,0.151978,0.21231,0.274353
chr6,55400000,55600000,0.151978,0.252829,0.314315
chr6,55600000,55800000,0.168739,0.308335,0.314315
chr6,55800000,56000000,0.168739,0.308335,0.327892
chr6,56000000,56200000,0.236159,0.270869,0.327892
chr6,56200000,56400000,0.261395,0.283496,0.306118
chr6,56400000,56600000,0.2968,0.595994,0.263594
chr6,56600000,56800000,0.461773,0.595994,0.249633
chr6,56800000,57000000,0.461773,0.51676,0.266284
chr6,57000000,57200000,0.308476,0.324709,0.266284
chr6,57200000,57400000,0.245764,0.289186,0.240283
chr6,57400000,57600000,0.198118,0.136961,0.157414
chr6,57600000,57800000,0.191715,0.0983841,0.157414
chr6,57800000,58000000,0.191715,0.0974128,0.165611
chr6,58000000,58200000,0.158005,0.109902,0.203908
chr6,58200000,58400000,0.140114,0.109902,0.203908
chr6,58400000,58600000,0.0148777,0.00790958,0.0886332
chr6,58600000,58800000,,,
chr6,58800000,59000000,,,
chr6,59000000,59200000,,,
chr6,59200000,59400000,,,
chr6,59400000,59600000,,,
chr6,59600000,59800000,,,
chr6,59800000,60000000,0.0,0.0,0.0
chr6,60000000,60200000,0.112618,0.0792346,0.139994
chr6,60200000,60400000,0.142939,0.0792346,0.166379
chr6,60400000,60600000,0.142939,0.0956088,0.252067
chr6,60600000,60800000,0.12034,0.0956088,0.252067
chr6,60800000,61000000,0.12034,0.0906133,0.248865
chr6,61000000,61200000,0.106592,0.0906133,0.248865
chr6,61200000,61400000,0.0363467,0.0513429,0.134999
chr6,61400000,61600000,0.0768366,0.137655,0.342749
chr6,61600000,61800000,0.0768366,0.138071,0.344799
chr6,61800000,62000000,0.0768366,0.138071,0.344799
chr6,62000000,62200000,0.0917142,0.142928,0.310729
chr6,62200000,62400000,0.0926558,0.142928,0.307783
chr6,62400000,62600000,0.107722,0.163326,0.305605
chr6,62600000,62800000,0.170434,0.171097,0.305605
chr6,62800000,63000000,0.170434,0.171097,0.263338
chr6,63000000,63200000,0.189831,0.227574,0.264107
chr6,63200000,63400000,0.452545,1.11442,0.270639
chr6,63400000,63600000,0.452545,1.11442,0.275378
chr6,63600000,63800000,0.247836,0.285716,0.275378
chr6,63800000,64000000,0.214879,0.201903,0.242204
chr6,64000000,64200000,0.13823,0.170958,0.259239
chr6,64200000,64400000,0.129003,0.173178,0.286649
chr6,64400000,64600000,0.116196,0.173178,0.28793
chr6,64600000,64800000,0.0988706,0.15833,0.299842
chr6,64800000,65000000,0.0864411,0.15833,0.308295
chr6,65000000,65200000,0.112242,0.153057,0.308295
chr6,65200000,65400000,0.112242,0.159996,0.294078
chr6,65400000,65600000,0.102637,0.172484,0.294078
chr6,65600000,65800000,0.113183,0.191912,0.298177
chr6,65800000,66000000,0.113183,0.191912,0.314315
chr6,66000000,66200000,0.103202,0.161522,0.323665
chr6,66200000,66400000,0.0856878,0.161383,0.329301
chr6,66400000,66600000,0.0856878,0.146258,0.336473
chr6,66600000,66800000,0.082298,0.149727,0.336473
chr6,66800000,67000000,0.082298,0.156804,0.329941
chr6,67000000,67200000,0.0856878,0.157082,0.334168
chr6,67200000,67400000,0.0856878,0.157082,0.359272
chr6,67400000,67600000,0.0824863,0.147923,0.359272
chr6,67600000,67800000,0.0952924,0.148756,0.340828
chr6,67800000,68000000,0.097364,0.149033,0.330197
chr6,68000000,68200000,0.097364,0.150976,0.325074
chr6,68200000,68400000,0.0888893,0.150976,0.325074
chr6,68400000,68600000,0.158381,0.163187,0.304068
chr6,68600000,68800000,0.158381,0.177619,0.271663
chr6,68800000,69000000,0.15518,0.214391,0.285112
chr6,69000000,69200000,0.15518,0.214391,0.285112
chr6,69200000,69400000,0.14501,0.163048,0.250017
chr6,69400000,69600000,0.209794,0.211061,0.255269
chr6,69600000,69800000,0.209794,0.211061,0.262185
chr6,69800000,70000000,0.218645,0.187194,0.262185
chr6,70000000,70200000,0.276649,0.32013,0.272176
chr6,70200000,70400000,0.276649,0.332896,0.272176
chr6,70400000,70600000,0.227308,0.332896,0.260392
chr6,70600000,70800000,0.206969,0.230627,0.260392
chr6,70800000,71000000,0.216574,0.21675,0.289211
chr6,71000000,71200000,0.283617,0.444741,0.289211
chr6,71200000,71400000,0.310548,0.533966,0.296511
chr6,71400000,71600000,0.310548,0.533966,0.296511
chr6,71600000,71800000,0.175707,0.169848,0.274866
chr6,71800000,72000000,0.157816,0.16624,0.258855
chr6,72000000,72200000,0.17533,0.176509,0.268461
chr6,72200000,72400000,0.17533,0.178868,0.268461
chr6,72400000,72600000,0.180792,0.178868,0.245663
chr6,72600000,72800000,0.180792,0.227852,0.25988
chr6,72800000,73000000,0.203391,0.227852,0.25988
chr6,73000000,73200000,0.278533,0.254494,0.258983
chr6,73200000,73400000,0.492281,0.582395,0.216332
chr6,73400000,73600000,0.492281,0.582395,0.235416
chr6,73600000,73800000,0.338608,0.495806,0.249505
chr6,73800000,74000000,0.167797,0.184141,0.259496
chr6,74000000,74200000,0.14614,0.174427,0.269742
chr6,74200000,74400000,0.138607,0.317632,0.312522
chr6,74400000,74600000,0.151225,0.317632,0.312522
chr6,74600000,74800000,0.151225,0.267399,0.296896
chr6,74800000,75000000,0.148212,0.203845,0.295999
chr6,75000000,75200000,0.387949,0.448071,0.265515
chr6,75200000,75400000,0.387949,0.732539,0.311241
chr6,75400000,75600000,0.260453,0.732539,0.311241
chr6,75600000,75800000,0.260453,0.322073,0.245919
chr6,75800000,76000000,0.213937,0.182753,0.253476
chr6,76000000,76200000,0.114313,0.145842,0.288698
chr6,76200000,76400000,0.096234,0.159718,0.288698
chr6,76400000,76600000,0.096234,0.159718,0.285753
chr6,76600000,76800000,0.0856878,0.134324,0.289083
chr6,76800000,77000000,0.0966107,0.150698,0.306886
chr6,77000000,77200000,0.136536,0.239647,0.338138
chr6,77200000,77400000,0.151413,0.239647,0.338138
chr6,77400000,77600000,0.151413,0.173317,0.292669
chr6,77600000,77800000,0.089266,0.134602,0.317773
chr6,77800000,78000000,0.100377,0.153751,0.319182
chr6,78000000,78200000,0.107534,0.156665,0.319182
chr6,78200000,78400000,0.133146,0.172623,0.282935
chr6,78400000,78600000,0.133146,0.174011,0.276146
chr6,78600000,78800000,0.161206,0.226325,0.279989
chr6,78800000,79000000,0.219022,0.290573,0.279989
chr6,79000000,79200000,0.219022,0.290573,0.268718
chr6,79200000,79400000,0.267798,0.275032,0.267949
chr6,79400000,79600000,0.267798,0.275032,0.256422
chr6,79600000,79800000,0.242751,0.20898,0.263082
chr6,79800000,80000000,0.26648,0.255743,0.263082
chr6,80000000,80200000,0.26648,0.255743,0.23913
chr6,80200000,80400000,0.143315,0.209257,0.262441
chr6,80400000,80600000,0.140114,0.207731,0.319694
chr6,80600000,80800000,0.101319,0.176092,0.319694
chr6,80800000,81000000,0.0789081,0.151115,0.320847
chr6,81000000,81200000,0.0762716,0.151115,0.32533
chr6,81200000,81400000,0.0983056,0.153612,0.32533
chr6,81400000,81600000,0.250095,0.265873,0.292669
chr6,81600000,81800000,0.250095,0.267261,0.290748
chr6,81800000,82000000,0.233523,0.289324,0.285881
chr6,82000000,82200000,0.373448,0.358013,0.281782
chr6,82200000,82400000,0.373448,0.358013,0.272048
chr6,82400000,82600000,0.144822,0.213559,0.274994
chr6,82600000,82800000,0.144822,0.190524,0.274994
chr6,82800000,83000000,0.271,0.267677,0.271535
chr6,83000000,83200000,0.271,0.267677,0.26052
chr6,83200000,83400000,0.268175,0.299593,0.275378
chr6,83400000,83600000,0.268175,0.299593,0.275378
chr6,83600000,83800000,0.218645,0.254217,0.269614
chr6,83800000,84000000,0.218645,0.254217,0.26385
chr6,84000000,84200000,0.19567,0.21453,0.269358
chr6,84200000,84400000,0.19567,0.325819,0.28255
chr6,84400000,84600000,0.40019,0.431558,0.28255
chr6,84600000,84800000,0.40019,0.431558,0.278068
chr6,84800000,85000000,0.190208,0.42684,0.278068
chr6,85000000,85200000,0.190208,0.20551,0.277939
chr6,85200000,85400000,0.438609,0.4403,0.292541
chr6,85400000,85600000,0.438609,0.4403,0.292541
chr6,85600000,85800000,0.435407,0.345246,0.263082
chr6,85800000,86000000,0.128438,0.143344,0.259752
chr6,86000000,86200000,0.108475,0.143344,0.313034
chr6,86200000,86400000,0.111488,0.136406,0.313034
chr6,86400000,86600000,0.125613,0.151392,0.286393
chr6,86600000,86800000,0.146517,0.151392,0.276659
chr6,86800000,87000000,0.270246,0.228129,0.266412
chr6,87000000,87200000,0.270246,0.228129,0.266412
chr6,87200000,87400000,0.270623,0.307364,0.250146
chr6,87400000,87600000,0.349719,0.59197,0.250146
chr6,87600000,87800000,0.349719,0.59197,0.280501
chr6,87800000,88000000,0.209606,0.241173,0.322
chr6,88000000,88200000,0.209606,0.455009,0.325971
chr6,88200000,88400000,0.171941,0.455009,0.325971
chr6,88400000,88600000,0.170811,0.232014,0.278964
chr6,88600000,88800000,0.170811,0.279472,0.308807
chr6,88800000,89000000,0.503392,0.804557,0.308807
chr6,89000000,89200000,0.503392,0.804557,0.240539
chr6,89200000,89400000,0.307158,0.225631,0.230165
chr6,89400000,89600000,0.261583,0.220081,0.224913
chr6,89600000,89800000,0.333147,0.227435,0.224273
chr6,89800000,90000000,0.333147,0.227435,0.272304
chr6,90000000,90200000,0.301696,0.264347,0.291901
chr6,90200000,90400000,0.301696,0.264347,0.291901
chr6,90400000,90600000,0.257628,0.240202,0.256422
chr6,90600000,90800000,0.197364,0.162771,0.262185
chr6,90800000,91000000,0.197364,0.163881,0.262185
chr6,91000000,91200000,0.177779,0.163881,0.286393
chr6,91200000,91400000,0.120716,0.161661,0.286393
chr6,91400000,91600000,0.102072,0.161661,0.283959
chr6,91600000,91800000,0.0969873,0.147229,0.329685
chr6,91800000,92000000,0.105085,0.161522,0.329685
chr6,92000000,92200000,0.105085,0.169432,0.327123
chr6,92200000,92400000,0.0913376,0.169432,0.346464
chr6,92400000,92600000,0.0821096,0.159441,0.346464
chr6,92600000,92800000,0.0821096,0.152225,0.344286
chr6,92800000,93000000,0.0907726,0.156804,0.30996
chr6,93000000,93200000,0.128061,0.168599,0.29728
chr6,93200000,93400000,0.180415,0.174982,0.294718
chr6,93400000,93600000,0.180415,0.191634,0.294718
chr6,93600000,93800000,0.112807,0.191634,0.293438
chr6,93800000,94000000,0.104332,0.169015,0.313803
chr6,94000000,94200000,0.104332,0.159996,0.313803
chr6,94200000,94400000,0.096234,0.156943,0.282935
chr6,94400000,94600000,0.105462,0.157359,0.311113
chr6,94600000,94800000,0.105462,0.157359,0.311113
chr6,94800000,95000000,0.0866294,0.153474,0.307399
chr6,95000000,95200000,0.135406,0.171097,0.263082
chr6,95200000,95400000,0.175142,0.199821,0.263722
chr6,95400000,95600000,0.175142,0.199821,0.266412
chr6,95600000,95800000,0.117891,0.170125,0.282807
chr6,95800000,96000000,0.154803,0.160967,0.282807
chr6,96000000,96200000,0.154803,0.160967,0.276146
chr6,96200000,96400000,0.200001,0.200792,0.276146
chr6,96400000,96600000,0.200001,0.200792,0.26654
chr6,96600000,96800000,0.271564,0.180117,0.237337
chr6,96800000,97000000,0.271564,0.180117,0.237722
chr6,97000000,97200000,0.248401,0.213836,0.249121
chr6,97200000,97400000,0.19567,0.213836,0.259624
chr6,97400000,97600000,0.170622,0.177758,0.263338
chr6,97600000,97800000,0.163654,0.164436,0.263338
chr6,97800000,98000000,0.163654,0.164436,0.266796
chr6,98000000,98200000,0.133334,0.159857,0.266796
chr6,98200000,98400000,0.160076,0.159857,0.252835
chr6,98400000,98600000,0.18776,0.158747,0.252835
chr6,98600000,98800000,0.36196,0.227713,0.257959
chr6,98800000,99000000,0.36196,0.227713,0.257959
chr6,99000000,99200000,0.311489,0.198572,0.252835
chr6,99200000,99400000,0.365727,0.352462,0.240283
chr6,99400000,99600000,0.365727,0.352462,0.256422
chr6,99600000,99800000,0.248024,0.174705,0.256422
chr6,99800000,100000000,0.213372,0.203568,0.274994
chr6,100000000,100200000,0.220152,0.389374,0.293822
chr6,100200000,100400000,0.220152,0.389374,0.293822
chr6,100400000,100600000,0.207157,0.261988,0.269102
chr6,100600000,100800000,0.186442,0.261988,0.302147
chr6,100800000,101000000,0.186442,0.225215,0.302147
chr6,101000000,101200000,0.177214,0.19996,0.29126
chr6,101200000,101400000,0.177214,0.197046,0.280757
chr6,101400000,101600000,0.169492,0.200931,0.276787
chr6,101600000,101800000,0.135406,0.263792,0.298177
chr6,101800000,102000000,0.129191,0.263792,0.302788
chr6,102000000,102200000,0.0932208,0.177202,0.302788
chr6,102200000,102400000,0.0917142,0.179145,0.320719
chr6,102400000,102600000,0.0988706,0.179145,0.320719
chr6,102600000,102800000,0.107534,0.171652,0.297792
chr6,102800000,103000000,0.115255,0.171652,0.303812
chr6,103000000,103200000,0.115255,0.167628,0.308679
chr6,103200000,103400000,0.10791,0.167628,0.308679
chr6,103400000,103600000,0.10791,0.15389,0.298945
