Chrom,Start,End,ATAC,H3K27ac,H3K9me3,PC1
chr22,21800000,22000000,0.406782,0.26393,0.247968,-0.0079726574144094
chr22,22000000,22200000,0.312996,0.194271,0.247968,-0.0057471691801359
chr22,22200000,22400000,0.322036,0.252829,0.252963,-0.0181361689223354
chr22,22400000,22600000,0.348589,0.553671,0.252963,-0.0308086685911944
chr22,22600000,22800000,0.348589,0.553671,0.255269,-0.0012688757731041
chr22,22800000,23000000,0.453486,0.212587,0.255269,-0.0270734487921725
chr22,23000000,23200000,0.453486,0.272534,0.18239,-0.0511285197487695
chr22,23200000,23400000,0.447837,0.379383,0.182006,-0.0455049779260486
chr22,23400000,23600000,0.45085,0.379383,0.182006,-0.0740074640489944
chr22,23600000,23800000,0.651039,0.261155,0.164586,-0.0616959342830042
chr22,23800000,24000000,0.651039,0.423926,0.178291,-0.0680738920727052
chr22,24000000,24200000,0.523731,0.591137,0.214282,-0.0376712242059014
chr22,24200000,24400000,0.507159,0.591137,0.214282,-0.0738344654730676
chr22,24400000,24600000,0.507159,0.335394,0.187897,0.0070351042929816
chr22,24600000,24800000,0.438985,0.32804,0.20378,-0.0595723081644224
chr22,24800000,25000000,0.438985,0.32804,0.20378,-0.0383919155016318
chr22,25000000,25200000,0.373637,0.260184,0.172015,0.0169358408210538
chr22,25200000,25400000,0.329004,0.255327,0.202883,0.0128755484608952
chr22,25400000,25600000,0.329004,0.277946,0.227219,0.0281448004330608
chr22,25600000,25800000,0.262713,0.277946,0.244126,0.0579406780932512
chr22,25800000,26000000,0.262713,0.136822,0.244126,0.0744790958085971
chr22,26000000,26200000,0.300567,0.145842,0.238106,0.0654464708322614
chr22,26200000,26400000,0.400567,0.29321,0.238106,-0.0504907000436803
chr22,26400000,26600000,0.411867,0.345385,0.245919,-0.0191270439027199
chr22,26600000,26800000,0.411867,0.345385,0.245919,0.0077214755947595
chr22,26800000,27000000,0.299248,0.345802,0.266668,0.0036357122632931
chr22,27000000,27200000,0.314503,0.345802,0.289339,0.0058215323486575
chr22,27200000,27400000,0.372883,0.345802,0.289339,-0.0110294197184197
chr22,27400000,27600000,0.411867,0.281553,0.218125,-0.0197178389988182
chr22,27600000,27800000,0.411867,0.351213,0.226578,-0.0016143827993184
chr22,27800000,28000000,0.380793,0.351213,0.226578,0.0741111583564764
chr22,28000000,28200000,0.26535,0.24145,0.247968,0.1014436022529346
chr22,28200000,28400000,0.175707,0.351075,0.276274,0.075775283898441
chr22,28400000,28600000,0.295293,0.368698,0.276274,0.0007896273592791492
chr22,28600000,28800000,0.382864,0.681612,0.234391,-0.0332278695828246
chr22,28800000,29000000,0.383994,0.681612,0.234391,-0.0447671443315228
chr22,29000000,29200000,0.692659,0.463474,0.217869,-0.0764964095279914
chr22,29200000,29400000,0.692659,0.331509,0.183671,-0.0633307523732753
chr22,29400000,29600000,0.541999,0.329566,0.181493,-0.06799579134158
chr22,29600000,29800000,0.541999,0.329566,0.220943,-0.0319687354937479
chr22,29800000,30000000,0.306405,0.382435,0.287161,-0.0116162163464044
chr22,30000000,30200000,1.02788,1.02672,0.287161,-0.0797522067862249
chr22,30200000,30400000,1.02788,1.02672,0.175858,-0.0806591830455314
chr22,30400000,30600000,0.618459,0.546039,0.179956,-0.0752799542126164
chr22,30600000,30800000,0.377968,0.339557,0.26385,-0.0726415537304923
chr22,30800000,31000000,0.509419,0.339557,0.26385,-0.0836147684251662
chr22,31000000,31200000,0.509419,0.317771,0.192764,-0.0842982119701023
chr22,31200000,31400000,0.424861,0.343581,0.204932,-0.0552245302260133
chr22,31400000,31600000,0.433524,0.343581,0.204932,-0.0633089337205745
chr22,31600000,31800000,0.433524,0.323738,0.178803,-0.0531856719236529
chr22,31800000,32000000,0.368552,0.268926,0.218125,0.0272667133852545
chr22,32000000,32200000,0.352168,0.187194,0.218125,0.0336520712037956
chr22,32200000,32400000,0.352168,0.287104,0.21979,0.0232704532020493
chr22,32400000,32600000,0.309606,0.287104,0.258215,0.0489850566801698
chr22,32600000,32800000,0.249719,0.159163,0.258215,0.0652179694849809
chr22,32800000,33000000,0.264031,0.164714,0.252195,0.0934946570105526
chr22,33000000,33200000,0.264031,0.21009,0.255781,0.0755071418906708
chr22,33200000,33400000,0.233523,0.263514,0.255781,0.0473320296035935
chr22,33400000,33600000,0.233523,0.263514,0.234519,0.0651606251119301
chr22,33600000,33800000,0.186818,0.162771,0.227859,0.0715964634374739
chr22,33800000,34000000,0.251979,0.167766,0.219021,0.1218678609081935
chr22,34000000,34200000,0.251979,0.167766,0.287161,0.1334545823990126
chr22,34200000,34400000,0.115631,0.12239,0.287161,0.1363596233190766
chr22,34400000,34600000,0.132016,0.113232,0.281398,0.1271294868020145
chr22,34600000,34800000,0.178532,0.115175,0.235544,0.1067681974731077
chr22,34800000,35000000,0.279662,0.134185,0.235544,0.0686387595765463
chr22,35000000,35200000,0.653111,0.573792,0.235544,-0.0295650805212917
chr22,35200000,35400000,0.653111,0.573792,0.211721,-0.0679418780400096
chr22,35400000,35600000,0.506594,0.38077,0.242845,-0.0066796570416349
chr22,35600000,35800000,0.33729,0.377856,0.242845,0.0100215965381915
chr22,35800000,36000000,0.305463,0.305282,0.233111,-0.0369288848042329
chr22,36000000,36200000,0.739175,0.818711,0.233111,-0.0834326462923513
chr22,36200000,36400000,0.739175,0.818711,0.198528,-0.088053106672072
chr22,36400000,36600000,0.556688,0.417959,0.201858,-0.0639441558610899
chr22,36600000,36800000,0.419776,0.210367,0.252067,-0.0489461831061067
chr22,36800000,37000000,0.732019,0.813022,0.252067,-0.0875163388805791
chr22,37000000,37200000,0.732019,0.813022,0.181749,-0.0915498725842467
chr22,37200000,37400000,0.75104,0.660103,0.174192,-0.0841510378607869
chr22,37400000,37600000,0.789458,0.660103,0.173552,-0.0773949694690254
chr22,37600000,37800000,0.789458,0.503577,0.162409,-0.0710477912951501
chr22,37800000,38000000,0.716953,0.381603,0.166251,-0.0597671367889223
chr22,38000000,38200000,0.639551,0.430587,0.166251,-0.0479814163666677
chr22,38200000,38400000,0.639551,0.430587,0.191996,-0.0272431251332246
chr22,38400000,38600000,0.690022,0.355654,0.191996,-0.0689537921980053
chr22,38600000,38800000,0.690022,0.355654,0.222864,-0.0501984019363856
chr22,38800000,39000000,0.572508,0.338031,0.222864,-0.0396590647234009
chr22,39000000,39200000,0.753488,0.498165,0.186104,-0.0802131078200167
chr22,39200000,39400000,0.765729,0.498165,0.182774,-0.0551410180224436
chr22,39400000,39600000,0.765729,0.339002,0.237465,0.00368942191865
chr22,39600000,39800000,0.448778,0.173178,0.26385,0.0605789548567327
chr22,39800000,40000000,0.368928,0.31,0.26385,0.0161561554529423
chr22,40000000,40200000,0.368928,0.38299,0.21979,-0.0041671166910173
chr22,40200000,40400000,0.488138,1.0585,0.259496,0.0056326956452597
chr22,40400000,40600000,0.488138,1.0585,0.259496,0.0029915855109123
chr22,40600000,40800000,0.398119,0.397561,0.224529,0.0248464305509006
chr22,40800000,41000000,0.377968,0.340528,0.212745,-0.009401584358185
chr22,41000000,41200000,0.590399,0.340528,0.206597,-0.0556625046731396
chr22,41200000,41400000,0.800192,0.555614,0.165995,-0.0592725272988781
chr22,41400000,41600000,0.800192,0.555614,0.189434,-0.0579600796939686
chr22,41600000,41800000,0.681171,0.335533,0.189434,-0.0676047944013706
chr22,41800000,42000000,0.681171,0.335533,0.26052,-0.041663525696787
chr22,42000000,42200000,0.549909,0.253245,0.26052,-0.0718276243261387
chr22,42200000,42400000,0.765352,0.253245,0.184311,-0.0810015447264862
chr22,42400000,42600000,0.765352,0.834531,0.184311,-0.0672520726239242
chr22,42600000,42800000,0.658384,0.891702,0.206341,-0.0467591474195303
chr22,42800000,43000000,0.658384,0.891702,0.206341,-0.0756816900854537
chr22,43000000,43200000,0.578722,0.505103,0.168685,-0.0372291969082411
chr22,43200000,43400000,0.510549,0.143066,0.221839,0.0053278711416077
chr22,43400000,43600000,0.353109,0.175537,0.266412,0.0541840308446105
chr22,43600000,43800000,0.468552,0.227019,0.266412,-0.0423863575467834
chr22,43800000,44000000,0.468552,0.24492,0.194942,-0.0515084785396607
chr22,44000000,44200000,0.476839,0.246307,0.2171,-0.0436875585352692
chr22,44200000,44400000,0.476839,0.246307,0.273585,-0.042577169807758
chr22,44400000,44600000,0.556312,0.240757,0.273585,-0.0532443773052696
chr22,44600000,44800000,0.556312,0.220913,0.200449,-0.0445266555963608
chr22,44800000,45000000,0.395671,0.278084,0.222608,-0.0519956050229465
chr22,45000000,45200000,0.490963,0.371889,0.222608,-0.0591019653745378
chr22,45200000,45400000,0.490963,0.524392,0.234776,-0.0536353401070171
chr22,45400000,45600000,0.422224,1.33297,0.313162,-0.0156984286402307
chr22,45600000,45800000,0.791341,1.33297,0.313162,-0.0407326366599934
chr22,45800000,46000000,1.24765,1.27289,0.227091,-0.0578614489826048
chr22,46000000,46200000,1.24765,1.27289,0.205829,-0.0718768889341835
chr22,46200000,46400000,0.551604,0.36842,0.205829,-0.0725701436111112
chr22,46400000,46600000,0.702263,0.728931,0.174192,-0.0715173308321348
chr22,46600000,46800000,0.702263,0.728931,0.201602,-0.0252009503736936
chr22,46800000,47000000,0.514127,0.46389,0.201602,-0.0054808619714372
chr22,47000000,47200000,0.334465,0.200792,0.263082,0.0081942662099196
chr22,47200000,47400000,0.334465,0.188165,0.298177,0.0479972748083951
chr22,47400000,47600000,0.216385,0.154445,0.298177,0.0556640183046671
chr22,47600000,47800000,0.184182,0.163742,0.309704,0.0372130528470967
chr22,47800000,48000000,0.223918,0.179145,0.309704,0.0246368513788004
chr22,48000000,48200000,0.250284,0.315967,0.268846,-0.0172498550847524
chr22,48200000,48400000,0.360642,0.327346,0.268846,-0.005617437361695
chr22,48400000,48600000,0.360642,0.327346,0.188666,0.0050454098656074
chr22,48600000,48800000,0.305275,0.128357,0.221199,0.0360263644208295
chr22,48800000,49000000,0.312808,0.112816,0.221199,0.0194827851772473
chr22,49000000,49200000,0.312808,0.129467,0.237465,0.0286978111528058
chr22,49200000,49400000,0.306781,0.131826,0.237465,0.002560696093786
chr22,49400000,49600000,0.430699,0.131826,0.245663,-0.0122105638912256
chr22,49600000,49800000,0.815258,0.674951,0.245663,-0.0698211120479424
chr22,49800000,50000000,0.815258,0.674951,0.225041,-0.0664532595190987
chr22,50000000,50200000,0.925805,0.513707,0.165355,-0.0593916064035362
chr22,50200000,50400000,0.925805,0.513707,0.165355,-0.0585033415393903
chr22,50400000,50600000,0.899063,0.402556,0.155364,-0.0483525568675842
chr22,50600000,50800000,0.501886,0.182892,0.155364,0.0
chr22,50800000,50818468,0.00112995,0.000555059,0.00102466,0.0
